epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1048.93,1.51589,2.31874,1.52203,0.58864,0.31916,0.29536,0.15231,1.68373,2.38866,1.66582,0.000369705,0.000369705,0.000369705
2,1987.6,1.47133,1.90864,1.49407,0.57679,0.36814,0.27849,0.12451,1.77378,2.31852,1.62567,0.000715617,0.000715617,0.000715617
3,2916.33,1.4509,1.7939,1.47711,0.63184,0.34173,0.31128,0.15012,1.82174,2.23146,1.7148,0.00103709,0.00103709,0.00103709
4,3870.55,1.41311,1.70856,1.44444,0.57788,0.36104,0.28839,0.1549,1.642,1.97841,1.61878,0.00100101,0.00100101,0.00100101
5,4841.33,1.39353,1.63427,1.43353,0.39431,0.40674,0.36007,0.19913,1.65418,1.82298,1.58005,0.000964348,0.000964348,0.000964348
6,5816.92,1.35989,1.56319,1.40155,0.44745,0.42479,0.41521,0.21891,1.64642,1.76845,1.55114,0.000927685,0.000927685,0.000927685
7,6830.07,1.3327,1.50467,1.38573,0.70716,0.44384,0.44331,0.24128,1.58247,1.63,1.48505,0.000891022,0.000891022,0.000891022
8,7779.86,1.32334,1.47228,1.37198,0.74848,0.42419,0.44074,0.242,1.55847,1.63335,1.49275,0.000854359,0.000854359,0.000854359
9,8716.66,1.29751,1.42988,1.36372,0.7622,0.40287,0.44189,0.24421,1.58118,1.68177,1.51628,0.000817696,0.000817696,0.000817696
10,9718.02,1.27559,1.4029,1.3498,0.78991,0.42362,0.4576,0.25385,1.54676,1.59316,1.51121,0.000781033,0.000781033,0.000781033
11,10683.2,1.27635,1.40294,1.35079,0.73742,0.4552,0.46123,0.26549,1.52218,1.52633,1.45199,0.00074437,0.00074437,0.00074437
12,11727.5,1.23944,1.33994,1.32364,0.71203,0.43028,0.43785,0.25597,1.50878,1.56612,1.48376,0.000707707,0.000707707,0.000707707
13,12703,1.24278,1.31704,1.32674,0.70553,0.42305,0.44569,0.26389,1.49719,1.59148,1.47946,0.000671044,0.000671044,0.000671044
14,13665.4,1.22129,1.2948,1.31587,0.74685,0.45185,0.48453,0.27421,1.47159,1.51782,1.4555,0.000634381,0.000634381,0.000634381
15,14661.9,1.20872,1.29852,1.31598,0.72627,0.44504,0.47017,0.26654,1.49332,1.44225,1.4404,0.000597718,0.000597718,0.000597718
16,15650,1.21686,1.28481,1.31902,0.75298,0.47098,0.48017,0.27575,1.52525,1.4593,1.45208,0.000561055,0.000561055,0.000561055
17,16617.1,1.2051,1.24954,1.306,0.7194,0.46272,0.47394,0.27758,1.45702,1.46036,1.40413,0.000524392,0.000524392,0.000524392
18,17581.7,1.18872,1.23147,1.29686,0.76221,0.49469,0.51104,0.27888,1.51447,1.37589,1.43391,0.000487729,0.000487729,0.000487729
19,18553.7,1.19434,1.22123,1.29822,0.76519,0.46397,0.49054,0.28885,1.46567,1.39133,1.44614,0.000451066,0.000451066,0.000451066
20,19501.9,1.16168,1.19511,1.28544,0.76858,0.4851,0.50317,0.29466,1.45982,1.36552,1.41131,0.000414403,0.000414403,0.000414403
21,20422.3,1.20437,1.0895,1.31245,0.74847,0.47453,0.48486,0.28593,1.44061,1.37315,1.40473,0.00037774,0.00037774,0.00037774
22,21371.2,1.18458,1.02888,1.29582,0.76764,0.45621,0.48551,0.29331,1.44139,1.39383,1.41304,0.000341077,0.000341077,0.000341077
23,22332.9,1.16117,0.99182,1.28142,0.75223,0.45497,0.48334,0.29438,1.41814,1.37683,1.41334,0.000304414,0.000304414,0.000304414
24,23235.3,1.15486,0.97816,1.2804,0.77207,0.47055,0.48672,0.28418,1.48945,1.35215,1.4524,0.000267751,0.000267751,0.000267751
25,24165.9,1.1301,0.94292,1.26917,0.77947,0.48595,0.51122,0.30744,1.44262,1.33194,1.42252,0.000231088,0.000231088,0.000231088
26,25089.1,1.11375,0.93115,1.25886,0.78405,0.49372,0.51771,0.30392,1.44654,1.33419,1.40472,0.000194425,0.000194425,0.000194425
27,26029.9,1.10115,0.90479,1.24495,0.79135,0.47504,0.50238,0.30511,1.44969,1.36677,1.42368,0.000157762,0.000157762,0.000157762
28,26963.8,1.0829,0.87897,1.23954,0.7598,0.49321,0.51566,0.30643,1.44248,1.30133,1.414,0.000121099,0.000121099,0.000121099
29,27898.9,1.07214,0.87356,1.23062,0.77599,0.49183,0.51402,0.30411,1.44026,1.30856,1.41034,8.4436e-05,8.4436e-05,8.4436e-05
30,28858.7,1.06051,0.84827,1.22579,0.76894,0.51636,0.52179,0.31406,1.43077,1.2677,1.39507,4.7773e-05,4.7773e-05,4.7773e-05
